index,amine_single_point,acid_single_point,product_single_point,delta_g_reaction
0,-292.183161833242,-459.789652523467,-675.60934894023,76.36346541647902
0,-326.648306970027,-656.206832410361,-906.4841248708749,76.37101450951297
0,-365.930123890311,-574.038759809069,-863.601601351406,76.36728234797408
0,-292.183161833242,-578.881691269279,-794.692528698724,76.37232440379705
0,-330.266427443276,-538.354184706518,-792.249454012016,76.37115813777791
0,-365.930123890311,-420.51204344145896,-710.080188212012,76.36197911975796
0,-326.648306970027,-499.076127953621,-749.357960640437,76.366474283211
0,-326.648306970027,-464.617985873583,-714.890966446911,76.37532639669905
0,-326.648306970027,-717.635868504697,-967.922255627031,76.361919847693
0,-213.623724027019,-345.533900935889,-482.797951021427,76.35967394148098
0,-326.648306970027,-425.33419847717204,-675.612350592516,76.37015485468294
0,-834.8988205434779,-345.542347000551,-1104.080307415873,76.36086012815599
0,-326.648306970027,-464.617985873583,-714.890966446911,76.37532639669905
0,-326.648306970027,-499.076127953621,-749.357960640437,76.366474283211
0,-326.648306970027,-538.361774609721,-788.6412408650459,76.36884071470196
0,-330.266427443276,-538.354184706518,-792.249454012016,76.37115813777791
0,-326.648306970027,-420.51204344145896,-670.796894732494,76.36345567899195
0,-365.930123890311,-574.038759809069,-863.601601351406,76.36728234797408
0,-326.648306970027,-656.206832410361,-906.4841248708749,76.37101450951297
0,-251.702040513477,-497.859388056054,-673.180964848505,76.38046372102598
0,-287.582665956704,-420.51204344145896,-631.717221721242,76.37748767692096
0,-365.91968127061006,-420.51204344145896,-710.065523964353,76.366200747716
0,-365.930123890311,-420.51204344145896,-710.080188212012,76.36197911975796
0,-326.648306970027,-421.946373863686,-672.234372007287,76.36030882642605
0,-330.266427443276,-538.354184706518,-792.249454012016,76.37115813777791
