Reaction Smiles,Yield /%
NCC1=CC=CC=C1.OC(C(CCC)CCC)=O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>CCCC(CCC)C(=O)NCc1ccccc1,55
NCC1=CC=CC=C1.OC(C(CCC)CCC)=O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>CCCC(CCC)C(=O)NCc1ccccc1,99
NCC1=CC=CC=C1.OC(C(C)(C)C)=O>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>CC(C)(C)C(=O)NCc1ccccc1,5
NCC1=CC=CC=C1.OC(C(C)(C)C)=O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>CC(C)(C)C(=O)NCc1ccccc1,55
NCC1=CC=CC=C1.OC(C(C)(C)C)=O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>CC(C)(C)C(=O)NCc1ccccc1,94
NCC1=CC=CC=C1.CC(C(O)=O)C1=CC=CC=C1>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>CC(C(=O)NCc1ccccc1)c1ccccc1,25
NCC1=CC=CC=C1.CC(C(O)=O)C1=CC=CC=C1>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>CC(C(=O)NCc1ccccc1)c1ccccc1,77
NCC1=CC=CC=C1.CC(C(O)=O)C1=CC=CC=C1>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>CC(C(=O)NCc1ccccc1)c1ccccc1,95
NCC1=CC=CC=C1.O=C(C12CC3CC(C2)CC(C3)C1)O>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>O=C(NCc1ccccc1)C12CC3CC(CC(C3)C1)C2,15
NCC1=CC=CC=C1.O=C(C12CC3CC(C2)CC(C3)C1)O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>O=C(NCc1ccccc1)C12CC3CC(CC(C3)C1)C2,22
NCC1=CC=CC=C1.O=C(C12CC3CC(C2)CC(C3)C1)O>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>O=C(NCc1ccccc1)C12CC3CC(CC(C3)C1)C2,20
NCC1=CC=CC=C1.O=C(C12CC3CC(C2)CC(C3)C1)O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>O=C(NCc1ccccc1)C12CC3CC(CC(C3)C1)C2,99
NCC1=CC=CC=C1.O=C(O)C(C1=CC=CC=C1)C2=CC=CC=C2>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>O=C(NCc1ccccc1)C(c1ccccc1)c1ccccc1,30
NCC1=CC=CC=C1.O=C(O)C(C1=CC=CC=C1)C2=CC=CC=C2>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>O=C(NCc1ccccc1)C(c1ccccc1)c1ccccc1,32
NCC1=CC=CC=C1.O=C(O)C(C1=CC=CC=C1)C2=CC=CC=C2>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>O=C(NCc1ccccc1)C(c1ccccc1)c1ccccc1,93
CNCC1=CC=CC=C1.OC(C1CCCCC1)=O>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>CN(Cc1ccccc1)C(=O)C1CCCCC1,47
CNCC1=CC=CC=C1.OC(C1CCCCC1)=O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>CN(Cc1ccccc1)C(=O)C1CCCCC1,53
CNCC1=CC=CC=C1.OC(C1CCCCC1)=O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>CN(Cc1ccccc1)C(=O)C1CCCCC1,93
NCC1=CC=CC=C1.C[C@H](NC(OC(C)(C)C)=O)C(O)=O>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>C[C@H](NC(=O)OC(C)(C)C)C(=O)NCc1ccccc1,35
NCC1=CC=CC=C1.C[C@H](NC(OC(C)(C)C)=O)C(O)=O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>C[C@H](NC(=O)OC(C)(C)C)C(=O)NCc1ccccc1,42
NCC1=CC=CC=C1.C[C@H](NC(OC(C)(C)C)=O)C(O)=O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>C[C@H](NC(=O)OC(C)(C)C)C(=O)NCc1ccccc1,91
NCC1=CC=CC=C1.CC1=CC=CC=C1C(O)=O>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>Cc1ccccc1C(=O)NCc1ccccc1,32
NCC1=CC=CC=C1.CC1=CC=CC=C1C(O)=O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>Cc1ccccc1C(=O)NCc1ccccc1,62
NCC1=CC=CC=C1.CC1=CC=CC=C1C(O)=O>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>Cc1ccccc1C(=O)NCc1ccccc1,92
NCC1=CC=CC=C1.O=C(O)CC1=CC=CC=C1>OB(O)C1=CC(F)=C(F)C(F)=C1>O=C(Cc1ccccc1)NCc1ccccc1,22
NCC1=CC=CC=C1.O=C(O)CC1=CC=CC=C1>OB(O)C1=CC(F)=C(F)C(F)=C1>O=C(Cc1ccccc1)NCc1ccccc1,42
NCC1=CC=CC=C1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(F)C=CC=C1>O=C(Cc1ccccc1)NCc1ccccc1,27
NCC1=CC=CC=C1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(F)C=CC=C1>O=C(Cc1ccccc1)NCc1ccccc1,41
NCC1=CC=CC=C1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(Cl)C=CC=C1>O=C(Cc1ccccc1)NCc1ccccc1,47
NCC1=CC=CC=C1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(Cl)C=CC=C1>O=C(Cc1ccccc1)NCc1ccccc1,64
NCC1=CC=CC=C1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(Br)C=CC=C1>O=C(Cc1ccccc1)NCc1ccccc1,49
NCC1=CC=CC=C1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(Br)C=CC=C1>O=C(Cc1ccccc1)NCc1ccccc1,76
NCC1=CC=CC=C1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(I)C=CC=C1>O=C(Cc1ccccc1)NCc1ccccc1,71
NCC1=CC=CC=C1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(I)C=CC=C1>O=C(Cc1ccccc1)NCc1ccccc1,91
NCC1=CC=CC=C1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(Br)C=CC=C1>O=C(Cc1ccccc1)NCc1ccccc1,99
CNCC1=CC=CC=C1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(Br)C=CC=C1>CN(Cc1ccccc1)C(=O)Cc1ccccc1,0
NCCCC.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(Br)C=CC=C1>CCCCNC(=O)Cc1ccccc1,66
NCCCC.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(Br)C=CC=C1>CCCCNC(=O)Cc1ccccc1,87
NCC(C)C.C=CCCC(O)=O>OB(O)C1=C(Br)C=CC=C1>C=CCCC(=O)NCC(C)C,80
NCC1=CC=CC=C1.CCCCCCC(O)=O>OB(O)C1=C(Br)C=CC=C1>CCCCCCC(=O)NCc1ccccc1,99
N1CCCC1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(Br)C=CC=C1>O=C(Cc1ccccc1)N1CCCC1,41
N1CCCC1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(I)C=CC=C1>O=C(Cc1ccccc1)N1CCCC1,76
N1CCCCC1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(I)C=CC=C1>O=C(Cc1ccccc1)N1CCCCC1,52
N1CCCCC1.O=C(O)CC1=CC=CC=C1>OB(O)C1=C(I)C=CC=C1>O=C(Cc1ccccc1)N1CCCCC1,97
